"URL","str1","Date","str2","Response body","Status","Content type","startTime","startDate","connectionState","interval","executionTime","minValue","endDate","endTime","dataFreshness","maxValue","id","startDate (#1)","hasChildren","level","area","dwell","name","value","id (#1)","index","maxDate","name (#1)","maxTime","maxValue (#1)"
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-11-09",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-11-09,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-11-09","all","daily",105,44966,"2016-11-09","23:59","2017-01-05T19:22:02.342+04:00",44966,56,"2016-11-09",true,"SUPERZONE","System Campus","5-1440",,44966,56,0,"2016-11-09","System Campus","00:00",44966
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-11-08",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-11-08,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-11-08","all","daily",100,43993,"2016-11-08","23:59","2017-01-05T19:22:02.342+04:00",43993,56,"2016-11-08",true,"SUPERZONE","System Campus","5-1440",,43993,56,0,"2016-11-08","System Campus","00:00",43993
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-11-07",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-11-07,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-11-07","all","daily",176,43090,"2016-11-07","23:59","2017-01-05T19:22:02.342+04:00",43090,56,"2016-11-07",true,"SUPERZONE","System Campus","5-1440",,43090,56,0,"2016-11-07","System Campus","00:00",43090
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-11-06",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-11-06,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-11-06","all","daily",119,44213,"2016-11-06","23:59","2017-01-05T19:22:02.342+04:00",44213,56,"2016-11-06",true,"SUPERZONE","System Campus","5-1440",,44213,56,0,"2016-11-06","System Campus","00:00",44213
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-11-05",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-11-05,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-11-05","all","daily",112,53636,"2016-11-05","23:59","2017-01-05T19:22:02.342+04:00",53636,56,"2016-11-05",true,"SUPERZONE","System Campus","5-1440",,53636,56,0,"2016-11-05","System Campus","00:00",53636
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-11-04",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-11-04,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-11-04","all","daily",122,57211,"2016-11-04","23:59","2017-01-05T19:22:02.342+04:00",57211,56,"2016-11-04",true,"SUPERZONE","System Campus","5-1440",,57211,56,0,"2016-11-04","System Campus","00:00",57211
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-11-03",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-11-03,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-11-03","all","daily",121,49783,"2016-11-03","23:59","2017-01-05T19:22:02.342+04:00",49783,56,"2016-11-03",true,"SUPERZONE","System Campus","5-1440",,49783,56,0,"2016-11-03","System Campus","00:00",49783
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-11-02",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-11-02,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-11-02","all","daily",180,46122,"2016-11-02","23:59","2017-01-05T19:22:02.342+04:00",46122,56,"2016-11-02",true,"SUPERZONE","System Campus","5-1440",,46122,56,0,"2016-11-02","System Campus","00:00",46122
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-11-01",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-11-01,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-11-01","all","daily",120,44863,"2016-11-01","23:59","2017-01-05T19:22:02.342+04:00",44863,56,"2016-11-01",true,"SUPERZONE","System Campus","5-1440",,44863,56,0,"2016-11-01","System Campus","00:00",44863
"https://msedcc.maf.ae/api/analytics/v1/deviceCount","{areas:Campus,granularity:daily,period:","2016-10-31",",timeRange:00:00-23:59,durationCategories:5}","{areas:Campus,granularity:daily,period:2016-10-31,timeRange:00:00-23:59,durationCategories:5}",200,"application/json","00:00","2016-10-31","all","daily",147,44049,"2016-10-31","23:59","2017-01-05T19:22:02.342+04:00",44049,56,"2016-10-31",true,"SUPERZONE","System Campus","5-1440",,44049,56,0,"2016-10-31","System Campus","00:00",44049
