"Status","Content type","startTime","startDate","connectionState","interval","executionTime","minValue","endDate","endTime","dataFreshness","maxValue","id","startDate (#1)","hasChildren","level","area","dwell","name","value","id (#1)","index","maxDate","name (#1)","maxTime","maxValue (#1)","id (#2)","startDate (#2)","hasChildren (#1)","level (#1)","area (#1)","dwell (#1)","name (#2)","value (#1)"
200,"application/json","00:00","2016-12-12","all","daily",138,87226,"2016-12-12","23:59","2017-01-05T19:30:59.476+04:00",87226,2477,"2016-12-12",true,"SUPERZONE","System Campus","5-1440",,87226,2477,0,"2016-12-12","System Campus","00:00",87226,,,,,,,,
200,"application/json","00:00","2016-12-11","all","daily",124,93012,"2016-12-11","23:59","2017-01-05T19:30:59.476+04:00",93012,2477,"2016-12-11",true,"SUPERZONE","System Campus","5-1440",,93012,2477,0,"2016-12-11","System Campus","00:00",93012,,,,,,,,
200,"application/json","00:00","2016-12-10","all","daily",634,104755,"2016-12-10","23:59","2017-01-05T19:30:59.476+04:00",104755,2477,"2016-12-10",true,"SUPERZONE","System Campus","5-1440",,104755,2477,0,"2016-12-10","System Campus","00:00",104755,,,,,,,,
200,"application/json","00:00","2016-12-09","all","daily",177,102376,"2016-12-09","23:59","2017-01-05T19:30:59.476+04:00",102376,2477,"2016-12-09",true,"SUPERZONE","System Campus","5-1440",,102376,2477,0,"2016-12-09","System Campus","00:00",102376,,,,,,,,
200,"application/json","00:00","2016-12-08","all","daily",124,92118,"2016-12-08","23:59","2017-01-05T19:30:59.476+04:00",92118,2477,"2016-12-08",true,"SUPERZONE","System Campus","5-1440",,92118,2477,0,"2016-12-08","System Campus","00:00",92118,,,,,,,,
200,"application/json","00:00","2016-12-07","all","daily",19,0,"2016-12-07","23:59","2017-01-05T19:30:59.476+04:00",0,2477,"2016-12-07",true,"SUPERZONE","System Campus","5-1440",,0,,,,,,,,,,,,,,
200,"application/json","00:00","2016-12-06","all","daily",183,106702,"2016-12-06","23:59","2017-01-05T19:30:59.476+04:00",106702,2477,"2016-12-06",true,"SUPERZONE","System Campus","5-1440",,106702,2477,0,"2016-12-06","System Campus","00:00",106702,,,,,,,,
200,"application/json","00:00","2016-12-05","all","daily",143,115967,"2016-12-05","23:59","2017-01-05T19:30:59.476+04:00",115967,2477,"2016-12-05",true,"SUPERZONE","System Campus","5-1440",,115967,2477,0,"2016-12-05","System Campus","00:00",115967,,,,,,,,
200,"application/json","00:00","2016-12-04","all","daily",142,113363,"2016-12-04","23:59","2017-01-05T19:30:59.476+04:00",113363,2477,"2016-12-04",true,"SUPERZONE","System Campus","5-1440",,113363,2477,0,"2016-12-04","System Campus","00:00",113363,,,,,,,,
200,"application/json","00:00","2016-12-03","all","daily",140,117598,"2016-12-03","23:59","2017-01-05T19:30:59.476+04:00",117598,2477,"2016-12-03",true,"SUPERZONE","System Campus","5-1440",,117598,2477,0,"2016-12-03","System Campus","00:00",117598,,,,,,,,
200,"application/json","00:00","2016-12-02","all","daily",139,121051,"2016-12-02","23:59","2017-01-05T19:30:59.476+04:00",121051,2477,"2016-12-02",true,"SUPERZONE","System Campus","5-1440",,121051,2477,0,"2016-12-02","System Campus","00:00",121051,,,,,,,,
200,"application/json","00:00","2016-12-01","all","daily",169,121112,"2016-12-01","23:59","2017-01-05T19:30:59.476+04:00",121112,2477,"2016-12-01",true,"SUPERZONE","System Campus","5-1440",,121112,2477,0,"2016-12-01","System Campus","00:00",121112,,,,,,,,
200,"application/json","00:00","2016-11-30","all","daily",435,112235,"2016-11-30","23:59","2017-01-05T19:30:59.476+04:00",112235,2477,"2016-11-30",true,"SUPERZONE","System Campus","5-1440",,112235,2477,0,"2016-11-30","System Campus","00:00",112235,,,,,,,,
200,"application/json","00:00","2016-11-29","all","daily",151,106033,"2016-11-29","23:59","2017-01-05T19:30:59.476+04:00",106033,2477,"2016-11-29",true,"SUPERZONE","System Campus","5-1440",,106033,2477,0,"2016-11-29","System Campus","00:00",106033,,,,,,,,
200,"application/json","00:00","2016-11-28","all","daily",148,102520,"2016-11-28","23:59","2017-01-05T19:30:59.476+04:00",102520,2477,"2016-11-28",true,"SUPERZONE","System Campus","5-1440",,102520,2477,0,"2016-11-28","System Campus","00:00",102520,,,,,,,,
200,"application/json","00:00","2016-11-27","all","daily",227,110230,"2016-11-27","23:59","2017-01-05T19:30:59.476+04:00",110230,2477,"2016-11-27",true,"SUPERZONE","System Campus","5-1440",,110230,2477,0,"2016-11-27","System Campus","00:00",110230,,,,,,,,
200,"application/json","00:00","2016-11-26","all","daily",156,111162,"2016-11-26","23:59","2017-01-05T19:30:59.476+04:00",111162,2477,"2016-11-26",true,"SUPERZONE","System Campus","5-1440",,111162,2477,0,"2016-11-26","System Campus","00:00",111162,,,,,,,,
200,"application/json","00:00","2016-11-25","all","daily",141,117150,"2016-11-25","23:59","2017-01-05T19:30:59.476+04:00",117150,2477,"2016-11-25",true,"SUPERZONE","System Campus","5-1440",,117150,2477,0,"2016-11-25","System Campus","00:00",117150,,,,,,,,
200,"application/json","00:00","2016-11-24","all","daily",147,117464,"2016-11-24","23:59","2017-01-05T19:30:59.476+04:00",117464,2477,"2016-11-24",true,"SUPERZONE","System Campus","5-1440",,117464,2477,0,"2016-11-24","System Campus","00:00",117464,,,,,,,,
200,"application/json","00:00","2016-11-23","all","daily",151,110898,"2016-11-23","23:59","2017-01-05T19:30:59.476+04:00",110898,2477,"2016-11-23",true,"SUPERZONE","System Campus","5-1440",,110898,2477,0,"2016-11-23","System Campus","00:00",110898,,,,,,,,
200,"application/json","00:00","2016-11-22","all","daily",147,106228,"2016-11-22","23:59","2017-01-05T19:30:59.476+04:00",106228,2477,"2016-11-22",true,"SUPERZONE","System Campus","5-1440",,106228,2477,0,"2016-11-22","System Campus","00:00",106228,,,,,,,,
200,"application/json","00:00","2016-11-21","all","daily",383,100507,"2016-11-21","23:59","2017-01-05T19:30:59.476+04:00",100507,2477,"2016-11-21",true,"SUPERZONE","System Campus","5-1440",,100507,2477,0,"2016-11-21","System Campus","00:00",100507,,,,,,,,
200,"application/json","00:00","2016-11-20","all","daily",162,102409,"2016-11-20","23:59","2017-01-05T19:30:59.476+04:00",102409,2477,"2016-11-20",true,"SUPERZONE","System Campus","5-1440",,102409,2477,0,"2016-11-20","System Campus","00:00",102409,,,,,,,,
200,"application/json","00:00","2016-11-19","all","daily",137,110581,"2016-11-19","23:59","2017-01-05T19:30:59.476+04:00",110581,2477,"2016-11-19",true,"SUPERZONE","System Campus","5-1440",,110581,2477,0,"2016-11-19","System Campus","00:00",110581,,,,,,,,
200,"application/json","00:00","2016-11-18","all","daily",181,113481,"2016-11-18","23:59","2017-01-05T19:30:59.476+04:00",113481,2477,"2016-11-18",true,"SUPERZONE","System Campus","5-1440",,113481,2477,0,"2016-11-18","System Campus","00:00",113481,,,,,,,,
200,"application/json","00:00","2016-11-17","all","daily",142,109818,"2016-11-17","23:59","2017-01-05T19:30:59.476+04:00",109818,2477,"2016-11-17",true,"SUPERZONE","System Campus","5-1440",,109818,2477,0,"2016-11-17","System Campus","00:00",109818,,,,,,,,
200,"application/json","00:00","2016-11-16","all","daily",147,106999,"2016-11-16","23:59","2017-01-05T19:30:59.476+04:00",106999,2477,"2016-11-16",true,"SUPERZONE","System Campus","5-1440",,106999,2477,0,"2016-11-16","System Campus","00:00",106999,,,,,,,,
200,"application/json","00:00","2016-11-15","all","daily",153,102690,"2016-11-15","23:59","2017-01-05T19:30:59.476+04:00",102690,2477,"2016-11-15",true,"SUPERZONE","System Campus","5-1440",,102690,2477,0,"2016-11-15","System Campus","00:00",102690,,,,,,,,
200,"application/json","00:00","2016-11-14","all","daily",148,104158,"2016-11-14","23:59","2017-01-05T19:30:59.476+04:00",104158,2477,"2016-11-14",true,"SUPERZONE","System Campus","5-1440",,104158,2477,0,"2016-11-14","System Campus","00:00",104158,,,,,,,,
200,"application/json","00:00","2016-11-13","all","daily",143,105534,"2016-11-13","23:59","2017-01-05T19:30:59.476+04:00",105534,2477,"2016-11-13",true,"SUPERZONE","System Campus","5-1440",,105534,2477,0,"2016-11-13","System Campus","00:00",105534,,,,,,,,
200,"application/json","00:00","2016-11-12","all","daily",145,116906,"2016-11-12","23:59","2017-01-05T19:30:59.476+04:00",116906,2477,"2016-11-12",true,"SUPERZONE","System Campus","5-1440",,116906,2477,0,"2016-11-12","System Campus","00:00",116906,,,,,,,,
200,"application/json","00:00","2016-11-11","all","daily",144,120927,"2016-11-11","23:59","2017-01-05T19:30:59.476+04:00",120927,2477,"2016-11-11",true,"SUPERZONE","System Campus","5-1440",,120927,2477,0,"2016-11-11","System Campus","00:00",120927,,,,,,,,
200,"application/json","00:00","2016-11-10","all","daily",213,111525,"2016-11-10","23:59","2017-01-05T19:30:59.476+04:00",111525,2477,"2016-11-10",true,"SUPERZONE","System Campus","5-1440",,111525,2477,0,"2016-11-10","System Campus","00:00",111525,,,,,,,,
200,"application/json","00:00","2016-11-09","all","daily",146,98942,"2016-11-09","23:59","2017-01-05T19:30:59.476+04:00",98942,2477,"2016-11-09",true,"SUPERZONE","System Campus","5-1440",,98942,2477,0,"2016-11-09","System Campus","00:00",98942,,,,,,,,
200,"application/json","00:00","2016-11-08","all","daily",164,106637,"2016-11-08","23:59","2017-01-05T19:30:59.476+04:00",106637,2477,"2016-11-08",true,"SUPERZONE","System Campus","5-1440",,106637,2477,0,"2016-11-08","System Campus","00:00",106637,,,,,,,,
200,"application/json","00:00","2016-11-07","all","daily",154,102587,"2016-11-07","23:59","2017-01-05T19:30:59.476+04:00",102587,2477,"2016-11-07",true,"SUPERZONE","System Campus","5-1440",,102587,2477,0,"2016-11-07","System Campus","00:00",102587,,,,,,,,
